Row,Port Num,Port Name,lat,lon,MarineTrafficPortType,MarineTrafficPortType_num,ConsolidatedPortType,ConsolidatedPortType_num
229,76,PORT MANATEE,27.63379,-82.56017,Medium-sized Port,7,Commercial,2
232,77,PORT NECHES,30.00296,-93.94736,Large-sized Port,3,Commercial,2
235,78,PORT O'CONNOR,28.4295,-96.4485,Medium-sized Port,7,Commercial,2
238,79,PORTLAND TX,27.87585,-97.33246,Medium-sized Port,7,Commercial,2
241,80,RESERVE,30.05231,-90.55598,Medium-sized Port,7,Commercial,2
244,81,ROCKPORT TERMINALS,27.93679,-97.1153,Medium-sized Port,7,Commercial,2
247,82,SABINE PASS,29.73561,-93.89362,Medium-sized Port,7,Commercial,2
250,83,SANIBEL BOAT CLUB,26.45959,-81.952,Medium-sized Port,7,Commercial,2
253,84,SOUTHWEST PASS,29.0318,-89.33842,Large-sized Port,3,Commercial,2
256,85,ST JAMES,30.02003,-90.83954,Medium-sized Port,7,Commercial,2
259,86,ST PETERSBURG,27.76642,-82.62732,Medium-sized Port,7,Commercial,2
262,87,SUNSHINE,30.28969,-91.22141,Medium-sized Port,7,Commercial,2
265,88,TAFT,29.99258,-90.44374,Medium-sized Port,7,Commercial,2
268,89,TAMPA,27.90189,-82.49585,Large-sized Port,3,Commercial,2
271,90,TEXAS CITY,29.37851,-94.89201,Large-sized Port,3,Commercial,2
274,91,THOMASEA SHIPYARD,29.65006,-90.53871,Small-sized Port,10,Commercial,2
277,92,TIERRA VERDE,27.69296,-82.71983,Medium-sized Port,7,Commercial,2
280,93,VENICE,29.25899,-89.3602,Medium-sized Port,7,Commercial,2
283,94,VERMILION,29.89401,-92.11826,Medium-sized Port,7,Commercial,2
286,95,VICTORIA,28.66268,-96.96223,Medium-sized Port,7,Commercial,2
289,96,WELCOME,30.06062,-90.86153,Large-sized Port,3,Commercial,2
292,97,BIRD KEY,27.3203,-82.5592,Medium-sized Marina/Local Harbour,5,Recreational,3
295,98,BLACKFIN RESORT,24.71763,-81.08823,Small-sized Marina/Local Harbour,9,Recreational,3
298,99,BLIND PASS,27.75753,-82.7608,Medium-sized Marina/Local Harbour,5,Recreational,3
301,100,BLUE PELICAN,28.49913,-82.65054,Small-sized Marina/Local Harbour,9,Recreational,3
304,101,BLUE WATERS,25.01876,-80.50648,Small-sized Marina/Local Harbour,9,Recreational,3
307,102,BLUEWATER BAY,30.4961,-86.4469,Small-sized Marina/Local Harbour,9,Recreational,3
310,103,BOCA GRANDE,26.74792,-82.25578,Small-sized Marina/Local Harbour,9,Recreational,3
313,104,BOCILLA ISLAND,26.7048,-82.1586,Small-sized Marina/Local Harbour,9,Recreational,3
316,105,BONEFISH,24.72448,-81.01192,Small-sized Marina/Local Harbour,9,Recreational,3
319,106,BONITA BAY,26.3383,-81.8272,Small-sized Marina/Local Harbour,9,Recreational,3
322,107,BRADENTON BEACH,27.466,-82.69583,Small-sized Marina/Local Harbour,9,Recreational,3
325,108,BRADENTON YACHT CLUB,27.52477,-82.61153,Medium-sized Marina/Local Harbour,5,Recreational,3
328,109,BREAKAWAY,29.75743,-85.02017,Small-sized Marina/Local Harbour,9,Recreational,3
331,110,BREATHWIT SHIPYARD,29.46673,-94.96646,Medium-sized Marina/Local Harbour,5,Recreational,3
334,111,BREEZY PALMS RESORT,24.90025,-80.65366,Small-sized Marina/Local Harbour,9,Recreational,3
337,112,BRIDGE HARBOR MARINA,28.96247,-95.29198,Medium-sized Marina/Local Harbour,5,Recreational,3
340,113,BROADWATER,30.38941,-88.96259,Small-sized Marina/Local Harbour,9,Recreational,3
343,114,BROOKSIDE,26.1392,-81.7803,Small-sized Marina/Local Harbour,9,Recreational,3
346,115,B'S CAMPGROUND,29.02324,-82.72157,Small-sized Marina/Local Harbour,9,Recreational,3
349,116,BUCCANEER,30.5811,-88.0711,Medium-sized Marina/Local Harbour,5,Recreational,3
352,117,BUD N MARYS,24.89763,-80.65827,Small-sized Marina/Local Harbour,9,Recreational,3
355,118,BURAS BOAT HARBOR,29.35151,-89.53857,Small-sized Marina/Local Harbour,9,Recreational,3
358,119,BURNT STORE,26.76206,-82.05801,Medium-sized Marina/Local Harbour,5,Recreational,3
361,120,CABBAGE KEY,26.65646,-82.22186,Small-sized Marina/Local Harbour,9,Recreational,3
364,121,CALADESI,28.0328,-82.8189,Small-sized Marina/Local Harbour,9,Recreational,3
367,122,CALOOSA COVE,24.8497,-80.7389,Small-sized Marina/Local Harbour,9,Recreational,3
370,123,CALOOSA ISLE,26.6392,-81.9075,Small-sized Marina/Local Harbour,9,Recreational,3
373,124,CALUSA CAMP RESORT,25.1111,-80.4292,Small-sized Marina/Local Harbour,9,Recreational,3
376,125,CALUSA ISLAND,25.91943,-81.6508,Small-sized Marina/Local Harbour,9,Recreational,3
379,126,CANNONS,27.4225,-82.6683,Small-sized Marina/Local Harbour,9,Recreational,3
382,127,CAPE CORAL BASIN,26.5433,-81.9498,Small-sized Marina/Local Harbour,9,Recreational,3
385,128,CAPE CORAL BOAT,26.56614,-81.94609,Small-sized Marina/Local Harbour,9,Recreational,3
388,129,CAPE HARBOUR,26.5467,-82.0082,Medium-sized Marina/Local Harbour,5,Recreational,3
391,130,CAPE HAZE,26.87546,-82.31258,Small-sized Marina/Local Harbour,9,Recreational,3
394,131,CAPTAIN HOOK'S,24.72949,-81.03037,Small-sized Marina/Local Harbour,9,Recreational,3
397,132,CAPTIVA,26.50118,-82.18504,Medium-sized Marina/Local Harbour,5,Recreational,3
400,133,CARLOUEL YACHT CLUB,28.00524,-82.82442,Small-sized Marina/Local Harbour,9,Recreational,3
403,134,CARRABELLE,29.85013,-84.66878,Small-sized Marina/Local Harbour,9,Recreational,3
406,135,CASEY KEY,27.1801,-82.492,Small-sized Marina/Local Harbour,9,Recreational,3
409,136,CASINO ROUGE,30.46054,-91.1933,Medium-sized Marina/Local Harbour,5,Recreational,3
412,137,CATCHERS,27.5075,-82.7133,Small-sized Marina/Local Harbour,9,Recreational,3
415,138,CAXAMBAS PARK,25.9119,-81.7175,Small-sized Marina/Local Harbour,9,Recreational,3
418,139,CEDAR KEY,29.13527,-83.03316,Small-sized Marina/Local Harbour,9,Recreational,3
421,140,CHADWICK COVE,26.9225,-82.3597,Small-sized Marina/Local Harbour,9,Recreational,3
424,141,CHARLOTTE,26.9592,-82.0811,Medium-sized Marina/Local Harbour,5,Recreational,3
427,142,CHEAP THRILLS,27.74519,-82.74512,Small-sized Marina/Local Harbour,9,Recreational,3
430,143,CHOKOLOSKEE ISLAND,25.81414,-81.36108,Small-sized Marina/Local Harbour,9,Recreational,3
433,144,CLEAR LAKE MARINE,29.5667,-95.0567,Medium-sized Marina/Local Harbour,5,Recreational,3
436,145,CLEAR LAKE SLIP,29.53773,-95.07632,Medium-sized Marina/Local Harbour,5,Recreational,3
439,146,CLEARWATER BAY,27.9758,-82.8008,Medium-sized Marina/Local Harbour,5,Recreational,3
442,147,CLEARWATER BEACH,27.97554,-82.82535,Medium-sized Marina/Local Harbour,5,Recreational,3
445,148,CLEARWATER COMMUNITY,27.9553,-82.8258,Medium-sized Marina/Local Harbour,5,Recreational,3
448,149,CLEARWATER YACHT,27.96627,-82.82089,Small-sized Marina/Local Harbour,9,Recreational,3
451,150,CLUB OF NAPLES,26.28939,-81.81999,Small-sized Marina/Local Harbour,9,Recreational,3
454,151,COASTAL MARINE MART,26.6886,-81.7925,Small-sized Marina/Local Harbour,9,Recreational,3
457,152,COCODRIE,29.24447,-90.66493,Medium-sized Marina/Local Harbour,5,Recreational,3
460,153,COCONUT CAY RESORT,24.72061,-81.06332,Small-sized Marina/Local Harbour,9,Recreational,3
463,154,COCONUT PALMAS,24.7717,-80.9331,Small-sized Marina/Local Harbour,9,Recreational,3
466,155,COMPASS ROSE,26.46304,-81.94907,Small-sized Marina/Local Harbour,9,Recreational,3
469,156,COOK BAYOU,30.1344,-85.5078,Medium-sized Marina/Local Harbour,5,Recreational,3
472,157,CORAL BAY,24.91929,-80.63483,Small-sized Marina/Local Harbour,9,Recreational,3
475,158,CORTEZ COVE,27.46674,-82.6839,Medium-sized Marina/Local Harbour,5,Recreational,3
478,159,CORTO STREET,30.1424,-85.64919,Small-sized Marina/Local Harbour,9,Recreational,3
481,160,COVE CAY,27.93435,-82.7265,Small-sized Marina/Local Harbour,9,Recreational,3
484,161,CRUSADER BOATS INC.,26.7893,-81.241,Small-sized Marina/Local Harbour,9,Recreational,3
487,162,CUDJOE GARDENS,24.6578,-81.5053,Small-sized Marina/Local Harbour,9,Recreational,3
490,163,DAUPHIN MARINA,30.26311,-88.11273,Medium-sized Marina/Local Harbour,5,Recreational,3
493,164,DESTIN,30.3961,-86.5158,Medium-sized Marina/Local Harbour,5,Recreational,3
496,165,DOG RIVER,30.57021,-88.08701,Large-sized Marina/Local Harbour,2,Recreational,3
499,166,DOLPHIN BAY,30.48619,-86.25906,Small-sized Marina/Local Harbour,9,Recreational,3
502,167,DOLPHIN LANDINGS,27.72292,-82.73759,Small-sized Marina/Local Harbour,9,Recreational,3
