lat,lng
29.79055556,-93.74972222
29.76777778,-93.8925
29.765,-93.89805556
29.86888889,-93.92694444
29.86833333,-93.92777778
29.86722222,-93.92166667
29.92527778,-93.87138889
29.68722222,-94.03777778
29.71083333,-93.86055556
29.73444444,-93.875
29.75972222,-93.93583333
29.82416667,-93.96472222
29.99805556,-93.95194444
29.97,-93.87416667
29.99666667,-93.86777778
29.985,-93.84027778
30.03805556,-93.79305556
30.065,-93.74833333
30.06111111,-93.74694444
29.73944444,-93.88916667
30.06583333,-93.74722222
29.86638889,-93.92583333
30.045,-93.82027778
30.03722222,-93.79527778
30.06527778,-93.74555556
30.065,-93.74527778
30.06444444,-94.05166667
29.71333333,-94.31472222
30.07,-93.745
29.879221,-94.054222
29.88083333,-94.05166667
29.88444444,-94.04166667
30.04194444,-93.80388889
29.96944444,-93.915
29.99055556,-93.86972222
30.00111111,-93.86638889
29.76416667,-93.89777778
30.04666667,-93.82138889
29.85972222,-93.93027778
30.0375,-93.795
29.73555556,-93.8825
30.06472222,-93.74694444
30.09583333,-93.72472222
30.11166667,-93.72722222
30.12694444,-93.70277778
29.77222222,-93.95
29.76611,-93.898333
29.68333333,-94.86666667
29.68083333,-94.93611111
29.72305556,-94.94277778
29.71055556,-95.00666667
29.68583333,-94.98416667
29.64916667,-95.01111111
29.54833333,-95.02388889
29.51222222,-94.97888889
29.50583333,-94.95722222
29.49666667,-94.91527778
29.49722222,-94.91
29.47111111,-94.92527778
29.4825,-94.9333
29.42027778,-94.9275
29.38916667,-94.88472222
29.39,-94.88583333
29.38611111,-94.8725
29.38361111,-94.86638889
29.37388889,-94.83638889
29.36555556,-94.81527778
29.30666667,-94.90638889
29.30277778,-94.89944444
29.33055556,-94.94416667
29.33138889,-94.94305556
29.28361111,-95.12916667
29.24777778,-95.23611111
29.21111111,-95.20805556
29.08972222,-95.27666667
29.095,-95.28333333
29.08555556,-95.28833333
29.04861111,-95.16527778
29.07944444,-95.13111111
29.13055556,-95.07388889
29.13194444,-95.06361111
29.14416667,-95.0475
29.2,-94.98777778
29.18888889,-94.97972222
29.20722222,-94.94944444
29.21777778,-94.94277778
29.26472222,-94.89972222
29.28527778,-94.83638889
29.28027778,-94.86861111
29.28722222,-94.87194444
29.28944444,-94.87388889
29.38416667,-94.76805556
29.38444444,-94.76805556
29.43055556,-94.70944444
29.08611111,-95.27888889
29.48138889,-94.60444444
29.51527778,-94.51194444
29.54611111,-94.78694444
29.65305556,-94.69166667
29.75194444,-94.69222222
29.67944444,-94.92611111
29.46277778,-94.97305556
29.80833333,-94.80777778
29.33416667,-94.74944444
29.33388889,-94.69777778
29.36833333,-94.75111111
29.31805556,-94.77638889
29.41861111,-94.925
29.56361111,-95.06944444
29.42194444,-94.89138889
29.48555556,-94.93277778
28.99805556,-95.2325
29.59388889,-94.39083333
29.62361111,-95.00944444
29.28611111,-95.13055556
29.24305556,-95.23138889
29.47916667,-94.60444444
29.33027778,-94.93666667
29.08222222,-95.28638889
28.89916667,-95.4925
28.95611111,-95.28666667
28.97944444,-95.26833333
28.96277778,-95.29277778
28.95611111,-95.29222222
28.875,-95.45527778
29.01055556,-95.32805556
28.96194444,-95.37083333
28.95583333,-95.36222222
29.00194444,-95.30722222
28.87638889,-95.45944444
28.86972222,-95.44611111
29.33388889,-94.69638889
28.90222222,-95.38472222
29.29916667,-94.905
29.42,-94.92527778
29.55,-95.02944444
29.42861111,-94.70194444
29.31722222,-94.77555556
29.31916667,-94.77361111
29.31861111,-94.77472222
29.31888889,-94.775
29.31944444,-94.775
29.27722222,-94.84666667
29.26305556,-94.84138889
29.07583333,-95.13055556
29.00222222,-95.30166667
29.00777778,-95.31583333
29.09527778,-95.28333333
29.09,-95.2775
29.24388889,-95.23194444
29.57416667,-95.05138889
29.57416667,-95.05138889
28.9625,-95.29111111
28.96194444,-95.29166667
28.96138889,-95.29277778
28.96111111,-95.29333333
29.3025,-94.89944444
29.28722222,-94.87194444
29.25305556,-95.23277778
28.96527778,-95.3075
29.49638889,-94.91611111
29.5975,-94.98611111
28.9644,-95.3742
29.03055556,-95.1975
29.36694444,-94.81416667
29.03055556,-95.19777778
29.71027778,-95.00305556
29.51166667,-95.10277778
29.45611111,-95.0475
29.2875,-94.87305556
29.33555556,-95.02305556
28.94638889,-95.38055556
29.43222222,-94.70888889
29.25916667,-94.91111111
29.38638889,-94.87583333
29.54805556,-95.02222222
29.49611111,-94.91
29.3697,-94.7511
29.56361111,-95.06666667
29.05722222,-95.145
29.59027778,-95.04055556
29.69805556,-94.88694444
28.95611111,-95.29416667
29.145,-95.04694444
29.38916667,-94.75972222
29.61361111,-94.52861111
29.575,-94.55583333
29.535,-95.09472222
29.55083333,-95.02333333
28.93166667,-95.31916667
29.42194444,-94.88972222
29.7125,-94.99222222
28.96166667,-95.29194444
29.33138889,-94.94611111
29.73305556,-94.98555556
28.94277778,-95.30111111
28.92222222,-95.34277778
29.38638889,-94.87472222
28.956666,-95.2908333
29.452222,-94.670277
28.43277778,-96.43305556
28.43916667,-96.41416667
28.43666667,-96.42388889
28.51166667,-96.48833333
28.56111111,-96.53944444
28.57861111,-96.65027778
28.595,-96.61972222
28.63944444,-96.61194444
28.68166667,-96.56277778
28.64,-96.45861111
28.73777778,-96.40194444
28.63666667,-96.35416667
28.72083333,-96.27333333
28.69638889,-96.23083333
28.69638889,-96.21972222
28.70444444,-96.20916667
28.71472222,-96.20055556
28.78638889,-96.15
28.67,-95.96444444
28.63944444,-95.96722222
28.62777778,-95.97027778
28.71027778,-95.91388889
28.77222222,-95.63416667
28.77111111,-95.61805556
28.60083333,-95.97777778
28.75777778,-95.77388889
28.63777778,-96.35555556
28.64361111,-95.96444444
28.69416667,-96.66388889
28.7725,-95.61527778
28.70944444,-96.21
28.72944444,-96.18611111
28.6875,-96.27416667
28.6575,-96.41611111
28.66055556,-96.58416667
28.47972222,-96.55138889
28.43805556,-96.41527778
28.43777778,-96.41583333
28.43805556,-96.41666667
28.43666667,-96.42138889
28.43638889,-96.42166667
28.43333333,-96.43
28.68805556,-95.96555556
28.76805556,-96.00055556
28.77388889,-95.62083333
28.83305556,-96.57638889
28.82277778,-96.57444444
28.76944444,-95.61888889
28.50972222,-96.50638889
28.66694444,-96.40833333
28.68527778,-96.39166667
28.65416667,-95.9625
28.7775,-96.69861111
28.82,-96.4025
28.69277778,-95.95805556
28.69805556,-96.21805556
28.74388889,-96.66305556
28.44027778,-96.41472222
28.76805556,-95.64027778
28.69388889,-95.95527778
28.63638889,-96.45694444
28.77277778,-95.63444444
28.78722222,-95.99555556
28.62638889,-95.97055556
28.76333333,-95.63194444
28.76972222,-95.635
28.61777778,-96.62083333
28.602777,-95.9775
28.6442,-95.9647
28.43916667,-96.41416667
28.43277778,-96.43305556
28.43666667,-96.42388889
28.36555556,-96.57805556
28.39138889,-96.70944444
28.40805556,-96.71166667
28.39555556,-96.83944444
28.34666667,-96.79472222
28.43805556,-96.41527778
28.36388889,-96.57916667
28.4375,-96.41583333
28.43805556,-96.41666667
28.43777778,-96.41861111
28.43722222,-96.42
28.43444444,-96.43027778
28.44722222,-96.76527778
28.48611111,-96.77638889
28.12805556,-96.98555556
28.44027778,-96.41472222
28.36444444,-96.58138889
28.40944444,-96.72305556
28.43388889,-96.42888889
28.43833333,-96.415
28.44083333,-96.41277778
28.4325,-96.43277778
28.42944444,-96.4375
28.1419,-96.9767
28.03055556,-97.03805556
28.06027778,-97.03333333
28.11333333,-97.02444444
28.13722222,-97.00666667
28.12805556,-96.98555556
28.14194444,-96.97666667
28.16361111,-97.00805556
28.08527778,-97.06972222
27.99222222,-97.16472222
28.07083333,-97.21916667
27.91305556,-97.13333333
27.9,-97.13583333
27.88833333,-97.11166667
27.88111111,-97.09916667
27.9675,-97.08916667
27.99166667,-97.0725
28.02444444,-97.04916667
27.87472222,-97.09305556
28.06333333,-97.11111111
28.07722222,-97.22083333
27.87972222,-97.09722222
28.07305556,-97.035
27.89,-97.14861111
27.83805556,-97.06666667
27.83833333,-97.06222222
28.05194444,-97.03527778
28.04166667,-97.03055556
28.04166667,-97.03055556
28.05861111,-97.03333333
27.88944444,-97.14666667
27.88944444,-97.14972222
27.83833333,-97.06166667
27.83833333,-97.06111111
27.83861111,-97.06027778
27.83916667,-97.06027778
28.07611111,-97.1
28.18277778,-97.21833333
27.93694444,-97.11805556
27.88888889,-97.14777778
27.88972222,-97.11
27.88888889,-97.14694444
28.06444444,-97.10972222
27.98972222,-97.07888889
27.99277778,-97.07472222
28.16583333,-97.01416667
27.99472222,-97.07527778
27.91027778,-97.13444444
27.86805556,-97.08527778
27.83666667,-97.38166667
27.83638889,-97.22027778
27.83111111,-97.22361111
27.8225,-97.21611111
27.89,-97.14861111
27.88833333,-97.11194444
27.73666667,-97.13666667
27.71083333,-97.30972222
27.79138889,-97.38888889
27.83805556,-97.06666667
27.83833333,-97.06222222
27.88888889,-97.14694444
27.85722222,-97.16861111
27.63416667,-97.23638889
27.68611111,-97.25861111
27.88194444,-97.09916667
27.85388889,-97.35833333
27.85805556,-97.35277778
27.9,-97.13583333
27.88888889,-97.14861111
27.89083333,-97.14916667
27.83861111,-97.06444444
27.8394,-97.0639
27.83694444,-97.06777778
27.83666667,-97.06583333
27.83861111,-97.06083333
27.83833333,-97.06111111
27.83861111,-97.06027778
27.83916667,-97.06027778
27.83972222,-97.05972222
27.83888889,-97.05305556
27.80694444,-97.08611111
27.88888889,-97.14777778
27.63138889,-97.23944444
27.83916667,-97.06055556
27.83888889,-97.05944444
27.87972222,-97.09722222
27.87472222,-97.09305556
27.99166667,-97.0725
27.80944444,-97.08611111
27.61194444,-97.29805556
27.61694444,-97.29694444
27.62888889,-97.28916667
27.63138889,-97.28916667
27.66222222,-97.27
27.63416667,-97.23916667
27.635,-97.23916667
27.63388889,-97.23777778
27.63472222,-97.23805556
27.63416667,-97.23638889
27.62333333,-97.22527778
27.67222222,-97.26916667
27.68805556,-97.2575
27.31972222,-97.68194444
27.28833333,-97.66138889
27.27777778,-97.70833333
27.47305556,-97.30972222
27.61416667,-97.30111111
27.60277778,-97.24055556
27.61194444,-97.23944444
27.6,-97.23
27.59611111,-97.23138889
27.58916667,-97.22638889
27.60027778,-97.24194444
27.63138889,-97.23944444
27.65777778,-97.2625
27.61833333,-97.2125
27.68972222,-97.2575
27.67222,-97.270556
26.1041,-97.1703
26.1036,-97.1703
26.07694444,-97.16527778
26.07111111,-97.16388889
26.07416667,-97.21444444
26.00222222,-97.29833333
26.10305556,-97.29055556
26.32638889,-97.45416667
26.33611111,-97.43611111
26.55277778,-97.42805556
26.55666667,-97.42888889
26.55722222,-97.42638889
26.13333333,-97.17611111
26.55166667,-97.42833333
26.07305556,-97.21166667
26.07555556,-97.16527778
26.09861111,-97.16777778
26.23944444,-97.58527778
26.07611111,-97.21638889
26.07361111,-97.21583333
26.06638889,-97.21027778
26.06638889,-97.20777778
26.07638889,-97.21694444
26.07861111,-97.16916667
26.33194444,-97.44138889
26.12916667,-97.17166667
26.34972222,-97.39111111
26.07083333,-97.2125
26.33166667,-97.44111111
26.33138889,-97.44111111
26.07694444,-97.16611111
26.06916667,-97.16305556
26.53777778,-97.42027778
26.12277778,-97.1725
26.32444444,-97.45555556
26.34944,-97.392778
26.0972,-97.1683
29.97253,-89.94505
29.23982,-89.36445
29.25433,-90.21185
29.78527,-92.15361
29.65815,-92.5201
29.7665,-93.5147
29.7678,-93.8919
30.18833,-93.27167
29.85378,-89.67903
29.8987,-89.90052
29.717,-92.7653
29.71185,-92.76575
29.77,-92.99167
29.77833,-93.21667
29.76167,-93.345
29.90942,-93.38328
30.05,-93.36667
29.81872,-89.61175
29.25065,-90.66212
30.21807,-89.82357
30.17678,-89.72695
29.6319,-89.95157
29.56875,-89.76458
29.3414,-90.72995
29.7233,-91.8632
29.81158,-92.13165
29.30795,-90.71537
29.51777,-89.73672
29.49095,-89.7138
29.34948,-89.5388
29.65625,-90.10882
29.11333,-90.19665
29.38372,-90.27032
29.54413,-90.40072
29.21497,-90.02833
29.20332,-90.04
29.41348,-90.7836
29.21,-90.05
29.205,-90.04
29.33717,-90.63855
30.02833,-90.12022
29.33255,-90.64348
29.19498,-90.075
29.5586,-89.88438
29.77773,-93.34395
29.77833,-93.0145
29.575,-91.5283
29.81407,-89.6431
29.98203,-89.9444
29.15833,-90.17832
30.0409,-90.23855
30.07037,-89.83713
29.115,-90.19167
29.24498,-90.20663
29.38497,-89.60208
29.8,-93.35
30.16673,-89.73723
30.07142,-89.80092
29.41602,-90.44765
29.26332,-89.95663
29.26,-89.95
29.353,-89.45833
30.1961,-93.27118
30.22167,-93.21667
29.20332,-90.03667
29.25638,-90.21612
29.71158,-91.87995
