station_num,date,year,month,day,WSPD,GST,WVHT,ATMP
42040,2020-09-10,2020.0,9.0,10.0,5.252447552447551,6.468531468531472,0.785,28.998601398601394
42040,2020-09-11,2020.0,9.0,11.0,5.764335664335663,7.1923076923076925,0.73875,28.0958041958042
42040,2020-09-12,2020.0,9.0,12.0,6.043749999999999,7.64513888888889,0.9525,28.152083333333312
42040,2020-09-13,2020.0,9.0,13.0,8.852083333333333,11.035416666666666,1.8729166666666668,28.865277777777766
42040,2020-09-14,2020.0,9.0,14.0,14.256250000000007,18.54236111111111,4.5704166666666675,28.050694444444456
42040,2020-09-15,2020.0,9.0,15.0,24.100000000000005,31.40833333333333,5.575,25.741666666666664
42040,2021-04-16,2021.0,4.0,16.0,8.693877551020408,10.63673469387755,1.42,20.204081632653065
42040,2021-04-17,2021.0,4.0,17.0,7.113194444444446,8.60486111111111,0.9929166666666668,21.167361111111106
42040,2021-04-18,2021.0,4.0,18.0,6.5729166666666705,8.079166666666662,0.8575,19.339583333333316
42040,2021-04-19,2021.0,4.0,19.0,6.595833333333335,8.405555555555559,1.0208695652173916,19.12986111111112
42040,2021-04-20,2021.0,4.0,20.0,3.7993055555555566,5.1388888888888875,0.545,20.29791666666668
42040,2021-04-21,2021.0,4.0,21.0,6.447222222222222,7.940277777777778,0.7174999999999999,19.822916666666668
42040,2021-04-22,2021.0,4.0,22.0,7.608333333333336,9.875694444444445,1.3134782608695652,17.61388888888889
42040,2021-04-23,2021.0,4.0,23.0,6.41388888888889,8.137500000000003,0.9808333333333336,20.279861111111092
42040,2021-04-24,2021.0,4.0,24.0,9.045138888888891,11.330555555555554,1.8470833333333336,24.27708333333335
42040,2021-04-25,2021.0,4.0,25.0,7.399305555555553,9.388194444444444,1.4920833333333334,20.356249999999996
42040,2021-04-26,2021.0,4.0,26.0,4.256250000000001,5.328472222222221,0.6175,21.777083333333334
42040,2021-04-27,2021.0,4.0,27.0,6.981944444444445,8.38888888888889,0.8608333333333333,23.604861111111113
42040,2021-04-28,2021.0,4.0,28.0,5.450694444444444,6.7118055555555545,1.00875,24.378472222222246
42040,2021-04-29,2021.0,4.0,29.0,5.052083333333332,6.379861111111106,1.2145833333333331,24.730555555555586
42040,2021-04-30,2021.0,4.0,30.0,1.8326388888888898,2.4902777777777776,0.9241666666666665,25.109027777777754
42040,2021-05-01,2021.0,5.0,1.0,5.417361111111109,6.704166666666667,0.77,23.794444444444483
42040,2021-05-02,2021.0,5.0,2.0,5.701398601398603,7.14965034965035,0.6878260869565217,23.87972027972027
42040,2021-05-03,2021.0,5.0,3.0,6.908333333333335,8.54027777777778,1.3091666666666668,25.06111111111112
42040,2021-05-04,2021.0,5.0,4.0,6.621527777777777,8.283333333333339,1.751666666666667,25.82361111111112
42040,2021-05-05,2021.0,5.0,5.0,3.9749999999999983,5.409722222222219,1.5695833333333333,25.371527777777786
42040,2021-05-06,2021.0,5.0,6.0,5.290277777777778,6.581944444444446,0.9020833333333332,23.94722222222223
42040,2021-05-07,2021.0,5.0,7.0,4.866666666666666,6.166666666666668,0.5629166666666666,24.32430555555555
42040,2021-05-08,2021.0,5.0,8.0,4.751388888888888,6.025694444444444,0.47291666666666665,23.91458333333334
42040,2021-05-09,2021.0,5.0,9.0,6.723611111111113,8.283333333333335,0.8529166666666668,24.447222222222194
42040,2021-05-10,2021.0,5.0,10.0,6.234027777777782,7.695833333333332,0.8399999999999999,24.311805555555573
42040,2021-05-11,2021.0,5.0,11.0,3.8611111111111103,4.860416666666666,0.7533333333333333,24.632867132867126
42040,2021-05-12,2021.0,5.0,12.0,4.523611111111112,5.630555555555554,0.7270833333333334,24.56805555555555
42040,2021-05-13,2021.0,5.0,13.0,5.996527777777777,7.377083333333335,0.88375,22.41805555555554
42040,2021-05-14,2021.0,5.0,14.0,5.818055555555556,7.481250000000003,0.7483333333333332,21.77777777777775
42040,2021-05-15,2021.0,5.0,15.0,5.701388888888887,7.265972222222222,0.7812500000000001,23.096527777777784
42040,2021-05-16,2021.0,5.0,16.0,7.0576388888888895,8.958333333333336,1.4183333333333332,23.822916666666647
42040,2021-05-17,2021.0,5.0,17.0,8.281944444444445,10.150000000000007,1.5074999999999996,24.29652777777781
42040,2021-05-18,2021.0,5.0,18.0,9.504861111111103,11.820138888888888,1.9375,24.867361111111137
42040,2021-05-19,2021.0,5.0,19.0,11.955555555555554,15.159722222222216,2.8212499999999996,24.645138888888884
42040,2021-05-20,2021.0,5.0,20.0,11.82916666666667,14.990972222222224,3.145,25.047916666666648
42040,2021-05-21,2021.0,5.0,21.0,12.34166666666667,15.649999999999999,3.7133333333333325,25.107638888888882
42040,2021-05-22,2021.0,5.0,22.0,9.235416666666666,11.54722222222222,2.7999999999999994,24.550694444444463
42040,2021-05-23,2021.0,5.0,23.0,6.237500000000001,7.71875,1.7708333333333337,24.475694444444454
42040,2021-05-24,2021.0,5.0,24.0,4.253472222222221,5.462499999999997,1.23625,24.175694444444424
42040,2021-05-25,2021.0,5.0,25.0,4.093749999999998,4.963888888888887,0.7658333333333336,24.522916666666696
42040,2021-05-26,2021.0,5.0,26.0,3.6430555555555566,4.779166666666666,0.6729166666666667,24.57152777777777
42040,2021-05-27,2021.0,5.0,27.0,1.6118055555555553,2.10763888888889,0.6095833333333334,25.34027777777778
42040,2021-05-28,2021.0,5.0,28.0,4.35625,5.308333333333332,0.5666666666666668,25.586805555555586
42040,2021-05-29,2021.0,5.0,29.0,4.619580419580421,5.688811188811189,0.5566666666666668,25.33146853146853
42040,2021-05-30,2021.0,5.0,30.0,5.66597222222222,6.991666666666667,0.7291666666666666,23.7451388888889
42040,2021-05-31,2021.0,5.0,31.0,4.675694444444442,5.7402777777777745,0.51,24.777777777777757
42040,2021-06-01,2021.0,6.0,1.0,5.19513888888889,6.282638888888888,0.6349999999999999,25.633333333333322
42040,2021-06-02,2021.0,6.0,2.0,5.6173611111111095,6.8444444444444414,0.8791666666666665,26.190972222222246
42040,2021-06-03,2021.0,6.0,3.0,3.9027777777777755,4.870833333333336,0.5524999999999999,26.420138888888896
42040,2021-06-04,2021.0,6.0,4.0,3.3770833333333328,4.179166666666666,0.3356521739130434,26.67902097902097
42040,2021-06-05,2021.0,6.0,5.0,5.554166666666669,6.796527777777783,0.48583333333333334,25.139583333333334
42040,2021-06-06,2021.0,6.0,6.0,6.029861111111114,7.379166666666667,0.9504166666666666,26.421527777777786
42040,2021-06-07,2021.0,6.0,7.0,4.755244755244757,5.933566433566432,0.9933333333333335,25.953846153846133
42040,2021-06-08,2021.0,6.0,8.0,4.872916666666666,5.997222222222223,0.8437499999999997,27.11180555555554
42040,2021-06-09,2021.0,6.0,9.0,4.8111111111111065,5.93958333333333,0.9620833333333333,27.317361111111083
42040,2021-06-10,2021.0,6.0,10.0,4.148951048951047,5.195804195804194,0.7408333333333333,27.30769230769229
42040,2021-06-11,2021.0,6.0,11.0,4.6944444444444455,5.849999999999998,0.6754166666666667,27.757638888888895
42040,2021-06-12,2021.0,6.0,12.0,5.203472222222221,6.411805555555553,0.5741666666666666,27.994444444444447
42040,2021-06-13,2021.0,6.0,13.0,4.887499999999999,6.126388888888884,0.6325,28.435416666666658
42040,2021-06-14,2021.0,6.0,14.0,3.3715277777777786,4.46875,0.5112500000000001,27.911111111111108
42040,2021-06-15,2021.0,6.0,15.0,2.626388888888888,3.572222222222221,0.21260869565217402,28.785416666666706
42040,2021-06-16,2021.0,6.0,16.0,3.0822695035461,4.121276595744678,0.3795833333333334,29.076595744680883
42040,2021-06-17,2021.0,6.0,17.0,5.270833333333332,6.656944444444447,0.7029166666666667,28.24930555555557
42040,2021-06-18,2021.0,6.0,18.0,9.52986111111111,12.04722222222223,2.075416666666667,26.330555555555538
42040,2021-06-19,2021.0,6.0,19.0,11.860416666666673,15.344444444444434,3.259583333333333,26.892361111111125
42040,2021-06-20,2021.0,6.0,20.0,7.045833333333331,8.952083333333334,1.6041666666666667,27.063888888888883
42040,2021-06-21,2021.0,6.0,21.0,5.054545454545453,6.4839160839160845,1.02375,26.43286713286711
42040,2021-06-22,2021.0,6.0,22.0,5.283333333333335,6.631944444444445,0.8970833333333333,27.000694444444445
42040,2021-06-23,2021.0,6.0,23.0,2.7194444444444468,3.6173611111111104,0.9233333333333335,27.137500000000006
42040,2021-06-24,2021.0,6.0,24.0,1.990277777777778,2.739583333333332,0.6695833333333333,28.191666666666677
42040,2021-06-25,2021.0,6.0,25.0,4.836111111111112,6.010416666666667,0.6270833333333333,27.713888888888892
