strat_id,psu_id,YEAR,ST,CNTY,INTSITE,MODE_FX,AREA_X,PARTY,WAVE,kod,month,TIME,DIST,ART_REEF,wp_int
201901117weS:8AM-8PM,201911171509820190126,2019,1,3.0,73.0,7,5,1.0,1,we,1,1349.0,8.0,,5788.5278954
201902117weS:8AM-8PM,201911171509820190202,2019,1,3.0,1256.0,7,5,1.0,1,we,2,1225.0,8.0,,5587.6106883
201902117weS:8AM-8PM,201911171509820190202,2019,1,3.0,1256.0,7,5,1.0,1,we,2,1330.0,8.0,,5587.6106883
201902117weS:8AM-8PM,201911171509820190202,2019,1,3.0,1686.0,7,5,2.0,1,we,2,1425.0,8.0,,7004.0107632
201902117weS:8AM-8PM,201911171509820190202,2019,1,3.0,1686.0,7,5,2.0,1,we,2,1430.0,8.0,,7004.0107632
201902117weS:8AM-8PM,201911171509820190202,2019,1,3.0,1686.0,7,5,2.0,1,we,2,1630.0,8.0,,7004.0107632
201902117weS:8AM-8PM,201911171509820190202,2019,1,3.0,1686.0,7,5,2.0,1,we,2,1640.0,8.0,,7004.0107632
201901117weS:8AM-8PM,201911171545320190125,2019,1,3.0,140.0,7,5,2.0,1,we,1,1330.0,8.0,,2484.586144
201901117weS:8AM-8PM,201911171545320190125,2019,1,3.0,1691.0,7,5,1.0,1,we,1,1507.0,8.0,,1419.2960963
201902117weS:8AM-8PM,201911171545320190201,2019,1,3.0,1256.0,7,5,1.0,1,we,2,1807.0,8.0,,7230.3544837
201902117weS:8AM-8PM,201911171545320190215,2019,1,3.0,19.0,7,5,1.0,1,we,2,1237.0,8.0,,2697.1745983
201902117weS:8AM-8PM,201911171545320190215,2019,1,3.0,19.0,7,5,2.0,1,we,2,1247.0,8.0,,2697.1745983
201902117weS:8AM-8PM,201911171545320190215,2019,1,3.0,19.0,7,5,2.0,1,we,2,1248.0,8.0,,2697.1745983
201902117weS:8AM-8PM,201911171545320190215,2019,1,3.0,19.0,7,5,1.0,1,we,2,1303.0,8.0,,2697.1745983
201901117weS:8AM-8PM,201911171573420190127,2019,1,97.0,4188.0,7,5,3.0,1,we,1,1646.0,8.0,,4840.6814536
201902117weS:8AM-8PM,201911171576120190215,2019,1,97.0,36.0,7,5,3.0,1,we,2,1443.0,8.0,,2882.3484505
201902117weS:8AM-8PM,201911171576120190215,2019,1,97.0,36.0,7,5,3.0,1,we,2,1444.0,8.0,,2882.3484505
201902117weS:8AM-8PM,201911171576120190215,2019,1,97.0,36.0,7,5,3.0,1,we,2,1445.0,8.0,,2882.3484505
201902117weS:8AM-8PM,201911171580220190215,2019,1,3.0,73.0,7,5,3.0,1,we,2,1340.0,8.0,,1748.8781485
201902117weS:8AM-8PM,201911171580220190215,2019,1,3.0,73.0,7,5,3.0,1,we,2,1341.0,8.0,,1748.8781485
201902117weS:8AM-8PM,201911171580220190215,2019,1,3.0,73.0,7,5,3.0,1,we,2,1342.0,8.0,,1748.8781485
201902117weS:8AM-8PM,201911171580220190215,2019,1,3.0,5.0,7,5,1.0,1,we,2,1620.0,8.0,,2484.4935817
2019012815weS:8AM-8PM,2019128151575920190121,2019,28,59.0,3988.0,5,5,1.0,1,we,1,1558.0,8.0,,193.53450981
2019012817wdS:8AM-8PM,2019128171570620190108,2019,28,47.0,87.0,7,5,1.0,1,wd,1,1341.0,8.0,,3548.3453452
2019012817wdS:8AM-8PM,2019128171570620190108,2019,28,47.0,87.0,7,5,1.0,1,wd,1,1349.0,8.0,,3548.3453452
2019012817weS:8AM-8PM,2019128171570620190111,2019,28,59.0,59.0,7,5,1.0,1,we,1,1200.0,8.0,,485.98299913
2019012817weS:8AM-8PM,2019128171570620190111,2019,28,59.0,59.0,7,5,1.0,1,we,1,1208.0,8.0,,485.98299913
2019012817weS:8AM-8PM,2019128171570620190111,2019,28,59.0,3988.0,7,5,2.0,1,we,1,1452.0,8.0,,932.19473575
2019012817weS:8AM-8PM,2019128171570620190111,2019,28,59.0,3988.0,7,5,2.0,1,we,1,1455.0,8.0,,932.19473575
2019022817wdS:8AM-8PM,2019128171570620190205,2019,28,59.0,90.0,7,5,3.0,1,wd,2,1550.0,8.0,,3226.1255426
